Bokført	Rentedato	Tekstkode	Beskrivelse	Beløp	Arkivref.	Motkonto
31.03.2013	27.03.2013	VISA VARE	*4621 23.03 NOK 99.00 FJORD 1 FYLKESBAT Kurs: 1.0000	-99,00	50001685147	
31.03.2013	27.03.2013	VARER	27.03 GYNGEHESTEN AS NAUSTDALSVN. FØRDE	-149,00	17017571632	
26.03.2013	26.03.2013	VARER	25.03 BILTEMA FØRDE KRONBORGVN 5 FØRDE	-298,00	17017495219	
26.03.2013	26.03.2013	VARER	25.03 BILTEMA FØRDE KRONBORGVN 5 FØRDE	-13,00	17017520640	
26.03.2013	26.03.2013	OVERFØRT	Til felleskonto	-32186,00	89250110	3705.17.98423
26.03.2013	26.03.2013	OVERFØRT	Sparing	-2000,00	89250043	3705.09.65105
26.03.2013	26.03.2013	VARER	25.03 CARLINGS 494 ELVEGARDEN FØRDE	-1998,00	17017452113	
25.03.2013	25.03.2013	LØNN	Lonn fra CISCO SYSTEMS NORWAY AS	107432,63	50975005590	
25.03.2013	25.03.2013	VISA VARE	*4621 20.03 NOK 84.00 PAYPAL *SPOTIFY Kurs: 1.0000	-84,00	50001685147	
25.03.2013	25.03.2013	VARER	25.03 REMA FØRDE HAFSTAD FØRDE	-91,80	17017111856	
25.03.2013	25.03.2013	VARER	24.03 BP FØRDE NAUSTDALSVN FØRDE	-48,80	17017064136	
25.03.2013	25.03.2013	VARER	23.03 KIWI 209 FLÅ . FLÅ	-482,66	17017958280	
22.03.2013	22.03.2013	VARER	22.03 CISCO CATERING PHILIP PERDE LYSAKER	-65,00	17017068875	
21.03.2013	21.03.2013	VISA VARE	*4621 19.03 NOK 30.00 Ruter billett Kurs: 1.0000	-30,00	50001685147	
21.03.2013	19.03.2013	VISA VARE	*4621 19.03 NOK 148.51 AMAZON MKTPLACE PMTS Kurs: 1.0000	148,51	50001685147	
20.03.2013	20.03.2013	VARER	20.03 NARVESEN 844 STORTORVET 9 OSLO	-49,00	17017426250	
20.03.2013	20.03.2013	VARER	20.03 CISCO CATERING PHILIP PERDE LYSAKER	-65,00	17017614443	
20.03.2013	20.03.2013	VISA VARE	*4621 17.03 NOK 235.00 OSLO TAXI Kurs: 1.0000	-235,00	50001685147	
20.03.2013	20.03.2013	AVTGI	CHESS COMMUNICATION AS	-516,81	93426058	5210.05.61603
20.03.2013	20.03.2013	VISA VARE	*4621 16.03 NOK 229.00 OSLO TAXI Kurs: 1.0000	-229,00	50001685147	
19.03.2013	19.03.2013	VARER	19.03 CISCO CATERING PHILIP PERDE LYSAKER	-65,00	17017771983	
18.03.2013	18.03.2013	VISA VARE	*4621 14.03 NOK 1565.00 BILLETTSERVICE Kurs: 1.0000	-1565,00	50001685147	
18.03.2013	18.03.2013	VARER	18.03 CISCO CATERING PHILIP PERDE LYSAKER	-25,00	17017819013	
15.03.2013	15.03.2013	VARER	15.03 CISCO CATERING PHILIP PERDE LYSAKER	-65,00	17017330210	
14.03.2013	14.03.2013	VARER	14.03 CISCO CATERING PHILIP PERDE LYSAKER	-45,00	17017155494	
13.03.2013	13.03.2013	VARER	13.03 CISCO CATERING PHILIP PERDE LYSAKER	-65,00	17017528156	
13.03.2013	13.03.2013	VISA VARE	*4621 11.03 NOK 30.00 Ruter billett Kurs: 1.0000	-30,00	50001685147	
12.03.2013	12.03.2013	VARER	12.03 CISCO CATERING PHILIP PERDE LYSAKER	-65,00	17017686160	
11.03.2013	11.03.2013	VARER	11.03 CISCO CATERING PHILIP PERDE LYSAKER	-65,00	17017765908	
08.03.2013	08.03.2013	VARER	08.03 CISCO CATERING PHILIP PERDE LYSAKER	-65,00	17017784028	
08.03.2013	08.03.2013	VARER	08.03 CISCO CATERING PHILIP PERDE LYSAKER	-64,00	17017787895	
07.03.2013	08.03.2013	NETTGIRO	Nettgiro til: AMERICAN EXPRES Betalt: 07.03.13	-923,00	50389079152	7058.06.61481
07.03.2013	07.03.2013	VARER	07.03 CISCO CATERING PHILIP PERDE LYSAKER	-65,00	17017857432	
06.03.2013	06.03.2013	VISA VARE	*4621 02.03 NOK 82.91 HERMANNS MOBILE 1 Kurs: 1.0000	-82,91	50001685147	
06.03.2013	06.03.2013	VARER	06.03 CISCO CATERING PHILIP PERDE LYSAKER	-65,00	17017892799	
04.03.2013	04.03.2013	VISA VARE	*4621 28.02 NOK 88.00 WWWJOTTANO Kurs: 1.0000	-88,00	50001685147	
04.03.2013	04.03.2013	VARER	04.03 CISCO CATERING PHILIP PERDE LYSAKER	-65,00	17017876511	
