Bokført	Rentedato	Tekstkode	Beskrivelse	Beløp	Arkivref.	Motkonto
30.06.2013	28.06.2013	VARER	28.06 KIWI MINIPRIS PROF.KOHTSV. 1368 STABEKK	-73,90	17017062426	
30.06.2013	28.06.2013	VARER	28.06 CISCO CATERING PHILIP PERDE LYSAKER	-65,00	17017966131	
27.06.2013	27.06.2013	VISA VARE	*4621 25.06 USD 6.00 SRA*SUPPORT.STRAVA.COM Kurs: 6.2250	-37,35	50001685147	
27.06.2013	27.06.2013	VARER	27.06 CISCO CATERING PHILIP PERDE LYSAKER	-45,00	17017850256	
26.06.2013	26.06.2013	VARER	26.06 CISCO CATERING PHILIP PERDE LYSAKER	-65,00	17017889331	
26.06.2013	26.06.2013	OVERFØRT	Sparing	-2000,00	89250033	3705.09.65105
26.06.2013	26.06.2013	VARER	26.06 KIWI MINIPRIS PROF.KOHTSV. 1368 STABEKK	-73,90	17017200520	
26.06.2013	26.06.2013	SKATT/AVG	Fra: OSLO KEMNERKONTOR Betalt: 26.06.13	928,00	50667661028	6345.06.03017
26.06.2013	26.06.2013	OVERFØRT	Til felleskonto	-32186,00	89250098	3705.17.98423
25.06.2013	25.06.2013	VISA VARE	*4621 21.06 NOK 30.00 Ruter billett Kurs: 1.0000	-30,00	50001685147	
25.06.2013	25.06.2013	VARER	25.06 CISCO CATERING PHILIP PERDE LYSAKER	-50,00	17017269652	
25.06.2013	25.06.2013	LØNN	Lonn fra CISCO SYSTEMS NORWAY AS	102554,54	50975004594	
24.06.2013	24.06.2013	VARER	21.06 NARVESEN 830 SENTRALST. OSLO	-110,00	17017253850	
24.06.2013	24.06.2013	VARER	22.06 SOM TAM THAI VOGTS GATE 6 OSLO	-845,00	17017714232	
24.06.2013	24.06.2013	VARER	24.06 CISCO CATERING PHILIP PERDE LYSAKER	-65,00	17017290971	
21.06.2013	21.06.2013	VISA VARE	*4621 19.06 NOK 106.00 WWWJOTTANO Kurs: 1.0000	-106,00	50001685147	
20.06.2013	20.06.2013	OVERFØRT	Fra: ØSTREHEIMSVEIEN 25-27-29 SAM. Betalt: 20.06.13	4124,00	80085498285	6090.06.06888
20.06.2013	20.06.2013	VARER	20.06 SØRENSEN SYKLER KAROLINE KRI 0661 OSLO	-1744,00	17017550926	
19.06.2013	19.06.2013	VARER	19.06 CISCO CATERING PHILIP PERDE LYSAKER	-65,00	17017818798	
18.06.2013	18.06.2013	VARER	18.06 CISCO CATERING PHILIP PERDE LYSAKER	-65,00	17017109560	
18.06.2013	18.06.2013	VISA VARE	*4621 16.06 NOK 389.00 NSB.no Kurs: 1.0000	-389,00	50001685147	
17.06.2013	17.06.2013	VARER	17.06 CISCO CATERING PHILIP PERDE LYSAKER	-65,00	17017872867	
