Bokført	Rentedato	Tekstkode	Beskrivelse	Beløp	Arkivref.	Motkonto
07.04.2014	05.04.2014	OVFNETTB	Overføring	1000,00	50389059152	3705.09.65091
07.04.2014	07.04.2014	VARER	05.04 LINDEX AVD. 232 E MOGENSSØNS OSLO	-397,00	17017464864	
07.04.2014	07.04.2014	VARER	05.04 8356 ICA ERIK MOGENSØ OSLO	-141,10	17017699735	
07.04.2014	07.04.2014	VARER	05.04 KREMMERHUSET ERICH MOGENS OSLO	-199,00	17017021975	
07.04.2014	07.04.2014	VARER	05.04 JORDBÆRPIKENE LINDERUD OSLO	-80,00	17017755040	
07.04.2014	07.04.2014	VARER	05.04 ÅHLENS AS LINDERUD OSLO	-157,00	17017165341	
07.04.2014	07.04.2014	VARER	05.04 102 KID INTERIØ ERICH MOGENS OSLO	-190,00	17017078509	
07.04.2014	07.04.2014	VARER	05.04 ISTANBUL LINDER E. MOGENSØNS OSLO	-18,00	17017600380	
07.04.2014	07.04.2014	VARER	05.04 ISTANBUL LINDER E. MOGENSØNS OSLO	-6,00	17017608334	
07.04.2014	07.04.2014	VARER	07.04 REMA 1000 ÅRVOLLVEIEN OSLO	-276,29	17017000063	
04.04.2014	04.04.2014	VARER	04.04 REMA 1000 ÅRVOLLVEIEN OSLO	-200,29	17017571017	
03.04.2014	03.04.2014	VARER	02.04 REMA 1000 ÅRVOLLVEIEN OSLO	-219,43	17017511470	
03.04.2014	03.04.2014	VARER	03.04 BABYSHOP STORO VITAMINVEIEN OSLO	-349,00	17017955498	
03.04.2014	03.04.2014	VARER	02.04 ELIXIA ÅRVOLL ÅRVOLLVN. 23 OSLO	-40,00	17017138998	
03.04.2014	03.04.2014	VARER	03.04 REMA 1000 ÅRVOLLVEIEN OSLO	-45,10	17017705902	
02.04.2014	02.04.2014	VARER	02.04 BR-LEKER F2320 STENERGATA 1 OSLO	-99,90	17017504451	
02.04.2014	02.04.2014	VARER	02.04 REMA 1000 ÅRVOLLVEIEN OSLO	-311,64	17017862125	
02.04.2014	02.04.2014	VARER	01.04 REMA 1000 ÅRVOLLVEIEN OSLO	-162,84	17017001303	
01.04.2014	01.04.2014	VARER	31.03 JIMS LAGERUTSAL BROBEKKVN 10 OSLO	-358,00	17017124128	
01.04.2014	01.04.2014	NETTGIRO	Nettgiro til: ÅRVOLLVEIEN BAR Betalt: 01.04.14	-2435,00	50389019343	1503.28.84420
01.04.2014	01.04.2014	VARER	31.03 BYGGMAKKER BROB HARALDRUDVN OSLO	-358,00	17017340932	
01.04.2014	01.04.2014	VARER	31.03 REMA BJERKE TRONDHEIMSVE OSLO	-861,11	17017949394	
01.04.2014	01.04.2014	OVFNETTB	Overføring	2000,00	50389019152	3705.09.65091
01.04.2014	01.04.2014	OVERFØRT	Til: 6090.06.06888 Betalt: 01.04.14	-3380,00	89250100	6090.06.06888
31.03.2014	31.03.2014	VARER	28.03 REMA 1000 ÅRVOLLVEIEN OSLO	-1204,67	17017313622	
31.03.2014	31.03.2014	VARER	29.03 VINMONOPOLET LINDERUD OSLO	-410,90	17017087821	
31.03.2014	31.03.2014	VISA VARE	*4485 27.03 NOK 992.00 Optimalprint Kurs: 1.0000	-992,00	50001685147	
31.03.2014	31.03.2014	VARER	28.03 STATOIL BJERKE ØKERN TORGVE OSLO	-156,44	17017724509	
31.03.2014	31.03.2014	AVTGI	VIKEN FIBERNETT AS	-807,00	93420017	6005.06.23826
31.03.2014	31.03.2014	VARER	31.03 KIWI MINIPRIS PROF.KOHTSV. 1368 STABEKK	-97,12	17017557126	
31.03.2014	31.03.2014	VARER	29.03 8356 ICA ERIK MOGENSØ OSLO	-570,92	17017299160	
31.03.2014	31.03.2014	VARER	30.03 DOLLY DIMPLES VOGTSGT. 50 OSLO	-315,00	17017761446	
31.03.2014	31.03.2014	NETTGIRO	Nettgiro til: H & M ROWELLS O Betalt: 31.03.14	-676,20	50389019343	6203.05.17321
28.03.2014	28.03.2014	VISA VARE	*8081 25.03 NOK 12.00 STORO STORSENTER Kurs: 1.0000	-12,00	50001685147	
28.03.2014	28.03.2014	VARER	28.03 KIWI MINIPRIS PROF.KOHTSV. 1368 STABEKK	-79,90	17017179286	
28.03.2014	28.03.2014	VARER	28.03 CISCO CATERING PHILIP PERDE LYSAKER	-65,00	17017087059	
27.03.2014	27.03.2014	NETTGIRO	Nettgiro til: NORGES RØDE KOR Betalt: 27.03.14	-300,00	50389079343	1602.44.95411
27.03.2014	27.03.2014	VARER	27.03 VITUSAPOTEK STO VITAMINVN. 7 OSLO	-91,20	17017016367	
27.03.2014	27.03.2014	VARER	27.03 8367 ICA SUPERM VITAMINVEIEN OSLO	-111,93	17017697728	
27.03.2014	27.03.2014	VARER	27.03 171 BOOTS APOTEK LINDERUD	-141,50	17017385464	
27.03.2014	27.03.2014	VARER	27.03 8356 ICA ERIK MOGENSØ OSLO	-431,88	17017431169	
27.03.2014	27.03.2014	VARER	27.03 111000 EURO SKO VITAMINVN. 0485 OSLO	-649,00	17017150505	
27.03.2014	27.03.2014	VARER	27.03 LEGE DAG HAMMER ERICH MOGENS OSLO	-186,00	17017317925	
26.03.2014	26.03.2014	VARER	25.03 LILLE PERSILLE VOGELLUND 6 NESBRU	-42,00	17017066030	
26.03.2014	26.03.2014	AVTALE	Til felleskonto	33398,00	89250107	3705.09.65091
26.03.2014	26.03.2014	AVTGI	GUDBRANDSDAL ENERGI	-190,21	93420800	2095.19.81088
26.03.2014	26.03.2014	LÅN	Til:37061632094	-18000,00	50370669100	3706.16.32094
26.03.2014	26.03.2014	VARER	26.03 REMA 1000 ÅRVOLLVEIEN OSLO	-84,73	17017868318	
